account_id,account_type,account_status,opened_date,closed_date
A000001,TRANSACTION,ACTIVE,2020-06-25,
A000002,TRANSACTION,ACTIVE,2026-05-08,
A000003,TRANSACTION,ACTIVE,2025-02-04,
A000004,SAVINGS,ACTIVE,2020-12-22,
A000005,SAVINGS,ACTIVE,2019-10-14,
A000006,SAVINGS,ACTIVE,2022-11-05,
A000007,TRANSACTION,ACTIVE,2020-02-13,
A000008,SAVINGS,ACTIVE,2021-12-05,
A000009,TRANSACTION,DORMANT,2025-08-27,
A000010,TRANSACTION,DORMANT,2021-01-04,
A000011,TRANSACTION,ACTIVE,2019-06-02,
A000012,SAVINGS,DORMANT,2024-08-09,
A000013,TRANSACTION,ACTIVE,2018-03-14,
A000014,TRANSACTION,ACTIVE,2020-08-31,
A000015,TRANSACTION,ACTIVE,2023-12-24,
A000016,SAVINGS,ACTIVE,2018-06-01,
A000017,TRANSACTION,DORMANT,2025-04-25,
A000018,TRANSACTION,ACTIVE,2020-05-26,
A000019,TRANSACTION,ACTIVE,2026-08-03,
A000020,TRANSACTION,ACTIVE,2024-09-21,
A000021,TRANSACTION,DORMANT,2025-04-10,
A000022,TRANSACTION,ACTIVE,2021-12-15,
A000023,TRANSACTION,DORMANT,2024-04-20,
A000024,SAVINGS,ACTIVE,2026-04-24,
A000025,TRANSACTION,DORMANT,2024-12-13,
A000026,TRANSACTION,DORMANT,2025-02-13,
A000027,SAVINGS,ACTIVE,2025-10-15,
A000028,TRANSACTION,ACTIVE,2021-01-16,
A000029,SAVINGS,ACTIVE,2022-03-03,
A000030,SAVINGS,ACTIVE,2026-01-07,
A000031,TRANSACTION,ACTIVE,2020-08-16,
A000032,TRANSACTION,ACTIVE,2021-02-09,
A000033,TRANSACTION,ACTIVE,2020-02-25,
A000034,TRANSACTION,ACTIVE,2022-01-06,
A000035,TRANSACTION,ACTIVE,2026-04-08,
A000036,TRANSACTION,ACTIVE,2022-06-28,
A000037,SAVINGS,CLOSED,2019-11-05,2025-08-11
A000038,TRANSACTION,DORMANT,2022-09-25,
A000039,TRANSACTION,DORMANT,2018-04-28,
A000040,SAVINGS,ACTIVE,2021-05-02,
A000041,TRANSACTION,ACTIVE,2018-03-20,
A000042,TRANSACTION,ACTIVE,2018-09-18,
A000043,TRANSACTION,ACTIVE,2025-12-08,
A000044,SAVINGS,ACTIVE,2019-06-18,
A000045,TRANSACTION,ACTIVE,2018-11-07,
A000046,TRANSACTION,ACTIVE,2024-01-15,
A000047,SAVINGS,DORMANT,2021-11-16,
A000048,SAVINGS,DORMANT,2018-09-20,
A000049,SAVINGS,ACTIVE,2021-05-10,
A000050,TRANSACTION,ACTIVE,2024-12-28,
A000051,TRANSACTION,DORMANT,2024-08-03,
A000052,SAVINGS,ACTIVE,2022-12-28,
A000053,SAVINGS,ACTIVE,2026-07-08,
A000054,TRANSACTION,ACTIVE,2021-07-04,
A000055,TRANSACTION,ACTIVE,2026-05-23,
A000056,TRANSACTION,ACTIVE,2020-11-30,
A000057,TRANSACTION,ACTIVE,2019-03-20,
A000058,TRANSACTION,ACTIVE,2020-11-06,
A000059,TRANSACTION,ACTIVE,2020-05-05,
A000060,SAVINGS,ACTIVE,2019-06-17,
A000061,TRANSACTION,ACTIVE,2025-08-13,
A000062,SAVINGS,ACTIVE,2018-02-23,
A000063,TRANSACTION,DORMANT,2023-06-17,
A000064,TRANSACTION,ACTIVE,2022-08-12,
A000065,TRANSACTION,ACTIVE,2021-05-25,
A000066,TRANSACTION,ACTIVE,2019-08-19,
A000067,SAVINGS,DORMANT,2024-11-01,
A000068,TRANSACTION,ACTIVE,2022-02-14,
A000069,TRANSACTION,ACTIVE,2021-05-25,
A000070,TRANSACTION,DORMANT,2019-12-09,
A000071,TRANSACTION,DORMANT,2019-07-17,
A000072,SAVINGS,ACTIVE,2026-05-07,
A000073,TRANSACTION,ACTIVE,2025-07-24,
A000074,TRANSACTION,ACTIVE,2023-05-01,
A000075,TRANSACTION,DORMANT,2018-01-27,
A000076,SAVINGS,ACTIVE,2019-07-09,
A000077,TRANSACTION,ACTIVE,2021-09-22,
A000078,SAVINGS,DORMANT,2023-09-09,
A000079,TRANSACTION,ACTIVE,2020-09-21,
A000080,SAVINGS,ACTIVE,2022-04-15,
A000081,TRANSACTION,ACTIVE,2024-06-20,
A000082,SAVINGS,ACTIVE,2018-12-17,
A000083,SAVINGS,ACTIVE,2021-05-11,
A000084,SAVINGS,ACTIVE,2020-10-06,
A000085,TRANSACTION,ACTIVE,2018-05-09,
A000086,SAVINGS,ACTIVE,2018-06-16,
A000087,TRANSACTION,ACTIVE,2018-12-20,
A000088,TRANSACTION,ACTIVE,2024-02-10,
A000089,TRANSACTION,ACTIVE,2022-09-05,
A000090,TRANSACTION,ACTIVE,2021-07-13,
A000091,SAVINGS,ACTIVE,2024-02-14,
A000092,SAVINGS,ACTIVE,2026-08-10,
A000093,TRANSACTION,ACTIVE,2023-02-19,
A000094,SAVINGS,DORMANT,2025-07-22,
A000095,TRANSACTION,ACTIVE,2022-07-11,
A000096,TRANSACTION,ACTIVE,2019-12-30,
A000097,SAVINGS,ACTIVE,2020-04-09,
A000098,TRANSACTION,ACTIVE,2020-08-22,
A000099,TRANSACTION,DORMANT,2018-09-17,
A000100,SAVINGS,ACTIVE,2025-09-25,
A000101,SAVINGS,ACTIVE,2024-10-09,
A000102,SAVINGS,ACTIVE,2023-08-07,
A000103,SAVINGS,ACTIVE,2024-09-23,
A000104,TRANSACTION,CLOSED,2026-04-11,2026-07-28
A000105,SAVINGS,DORMANT,2025-01-25,
A000106,TRANSACTION,ACTIVE,2020-12-20,
A000107,TRANSACTION,CLOSED,2023-06-11,2023-12-10
A000108,SAVINGS,ACTIVE,2023-10-10,
A000109,TRANSACTION,DORMANT,2023-08-31,
A000110,TRANSACTION,ACTIVE,2022-03-24,
A000111,TRANSACTION,DORMANT,2023-06-19,
A000112,TRANSACTION,ACTIVE,2023-08-14,
A000113,SAVINGS,ACTIVE,2023-12-05,
A000114,SAVINGS,ACTIVE,2022-10-13,
A000115,TRANSACTION,CLOSED,2026-04-05,2026-05-23
A000116,SAVINGS,ACTIVE,2020-03-03,
A000117,TRANSACTION,ACTIVE,2024-09-14,
A000118,SAVINGS,ACTIVE,2021-03-08,
A000119,SAVINGS,ACTIVE,2024-08-18,
A000120,TRANSACTION,ACTIVE,2022-06-01,
A000121,SAVINGS,ACTIVE,2023-03-23,
A000122,TRANSACTION,ACTIVE,2019-01-29,
A000123,SAVINGS,ACTIVE,2021-07-20,
A000124,TRANSACTION,ACTIVE,2023-12-10,
A000125,TRANSACTION,ACTIVE,2025-09-14,
A000126,TRANSACTION,ACTIVE,2019-12-05,
A000127,TRANSACTION,ACTIVE,2019-08-21,
A000128,SAVINGS,ACTIVE,2025-07-16,
A000129,TRANSACTION,ACTIVE,2024-01-18,
A000130,SAVINGS,ACTIVE,2026-07-20,
A000131,TRANSACTION,ACTIVE,2024-05-10,
A000132,SAVINGS,ACTIVE,2019-08-12,
