customer_id,account_id,holder_role
C000457,A000001,PRIMARY
C000400,A000002,PRIMARY
C000115,A000003,PRIMARY
C000805,A000004,PRIMARY
C000068,A000005,PRIMARY
C000106,A000006,PRIMARY
C000498,A000007,PRIMARY
C000798,A000008,PRIMARY
C000969,A000009,PRIMARY
C000447,A000010,PRIMARY
C000856,A000011,PRIMARY
C000869,A000012,PRIMARY
C000091,A000013,PRIMARY
C000569,A000014,PRIMARY
C000964,A000015,PRIMARY
C000054,A000016,PRIMARY
C000667,A000017,PRIMARY
C000999,A000018,PRIMARY
C000478,A000019,PRIMARY
C000956,A000020,PRIMARY
C000792,A000021,PRIMARY
C000878,A000022,PRIMARY
C000555,A000023,PRIMARY
C000866,A000024,PRIMARY
C000054,A000025,PRIMARY
C000263,A000026,PRIMARY
C000265,A000027,PRIMARY
C000889,A000028,PRIMARY
C000721,A000029,PRIMARY
C000513,A000030,PRIMARY
C000253,A000031,PRIMARY
C000455,A000032,PRIMARY
C000165,A000033,PRIMARY
C000077,A000034,PRIMARY
C000685,A000035,PRIMARY
C000116,A000036,PRIMARY
C000543,A000037,PRIMARY
C000417,A000038,PRIMARY
C000457,A000039,PRIMARY
C000646,A000040,PRIMARY
C000965,A000041,PRIMARY
C000052,A000042,PRIMARY
C000451,A000043,PRIMARY
C000924,A000044,PRIMARY
C000813,A000045,PRIMARY
C000642,A000046,PRIMARY
C000434,A000047,PRIMARY
C000110,A000048,PRIMARY
C000540,A000049,PRIMARY
C000018,A000050,PRIMARY
C000502,A000051,PRIMARY
C000351,A000052,PRIMARY
C000195,A000053,PRIMARY
C000172,A000054,PRIMARY
C000482,A000055,PRIMARY
C000742,A000056,PRIMARY
C000856,A000057,PRIMARY
C000747,A000058,PRIMARY
C000711,A000059,PRIMARY
C000553,A000060,PRIMARY
C000280,A000061,PRIMARY
C000431,A000062,PRIMARY
C000688,A000063,PRIMARY
C000601,A000064,PRIMARY
C000943,A000065,PRIMARY
C000165,A000066,PRIMARY
C000182,A000067,PRIMARY
C000746,A000068,PRIMARY
C000392,A000069,PRIMARY
C000711,A000070,PRIMARY
C000758,A000071,PRIMARY
C000477,A000072,PRIMARY
C000742,A000073,PRIMARY
C000284,A000074,PRIMARY
C000806,A000075,PRIMARY
C000991,A000076,PRIMARY
C000381,A000077,PRIMARY
C000656,A000078,PRIMARY
C000708,A000079,PRIMARY
C000293,A000080,PRIMARY
C000694,A000081,PRIMARY
C000459,A000082,PRIMARY
C000143,A000083,PRIMARY
C000829,A000084,PRIMARY
C000022,A000085,PRIMARY
C000711,A000086,PRIMARY
C000568,A000087,PRIMARY
C000502,A000088,PRIMARY
C000125,A000089,PRIMARY
C000611,A000090,PRIMARY
C000674,A000091,PRIMARY
C000173,A000092,PRIMARY
C000388,A000093,PRIMARY
C000352,A000094,PRIMARY
C000145,A000095,PRIMARY
C000801,A000096,PRIMARY
C000531,A000097,PRIMARY
C000052,A000098,PRIMARY
C000813,A000099,PRIMARY
C000966,A000100,PRIMARY
C000779,A000101,PRIMARY
C000501,A000102,PRIMARY
C000009,A000103,PRIMARY
C000179,A000104,PRIMARY
C000434,A000105,PRIMARY
C000621,A000106,PRIMARY
C000023,A000107,PRIMARY
C000924,A000108,PRIMARY
C000532,A000109,PRIMARY
C000007,A000110,PRIMARY
C000113,A000111,PRIMARY
C000173,A000112,PRIMARY
C000568,A000113,PRIMARY
C000860,A000114,PRIMARY
C000412,A000115,PRIMARY
C000251,A000116,PRIMARY
C000555,A000117,PRIMARY
C000404,A000118,PRIMARY
C000579,A000119,PRIMARY
