customer_id,customer_since_date,customer_status
C000001,2023-08-03,INACTIVE
C000002,2017-12-09,ACTIVE
C000003,2022-10-03,ACTIVE
C000004,2022-05-04,ACTIVE
C000005,2025-03-25,ACTIVE
C000006,2017-06-18,ACTIVE
C000007,2019-04-29,ACTIVE
C000008,2023-04-29,ACTIVE
C000009,2024-08-20,ACTIVE
C000010,2019-06-13,ACTIVE
C000011,2023-07-11,ACTIVE
C000012,2019-05-18,ACTIVE
C000013,2026-06-26,ACTIVE
C000014,2025-12-01,ACTIVE
C000015,2018-02-03,ACTIVE
C000016,2026-03-10,ACTIVE
C000017,2025-02-28,ACTIVE
C000018,2020-04-11,ACTIVE
C000019,2023-08-07,ACTIVE
C000020,2017-06-04,ACTIVE
C000021,2021-05-13,ACTIVE
C000022,2017-08-07,ACTIVE
C000023,2019-04-08,ACTIVE
C000024,2018-01-19,ACTIVE
C000025,2023-03-17,ACTIVE
C000026,2017-09-27,ACTIVE
C000027,2021-07-21,ACTIVE
C000028,2025-09-02,ACTIVE
C000029,2020-08-13,ACTIVE
C000030,2025-03-26,ACTIVE
C000031,2017-05-30,ACTIVE
C000032,2019-11-30,ACTIVE
C000033,2024-11-22,ACTIVE
C000034,2022-11-24,ACTIVE
C000035,2020-02-23,ACTIVE
C000036,2022-05-17,ACTIVE
C000037,2023-09-10,ACTIVE
C000038,2026-04-25,ACTIVE
C000039,2021-04-13,ACTIVE
C000040,2026-04-15,ACTIVE
C000041,2023-07-16,INACTIVE
C000042,2021-04-22,ACTIVE
C000043,2021-04-08,ACTIVE
C000044,2023-03-26,ACTIVE
C000045,2022-03-19,ACTIVE
C000046,2020-04-04,ACTIVE
C000047,2023-06-07,ACTIVE
C000048,2019-02-12,INACTIVE
C000049,2024-02-21,ACTIVE
C000050,2017-07-09,ACTIVE
C000051,2026-05-12,ACTIVE
C000052,2017-09-27,ACTIVE
C000053,2026-08-12,ACTIVE
C000054,2018-01-16,ACTIVE
C000055,2020-03-02,INACTIVE
C000056,2018-05-16,ACTIVE
C000057,2023-02-14,ACTIVE
C000058,2020-05-06,ACTIVE
