transaction_id,account_id,transaction_timestamp,transaction_type,channel_code,amount,currency_code,status
T00000001,A000349,2026-04-25 03:36:28,PURCHASE,APP,191.91,ZAR,SUCCESSFUL
T00000002,A001117,2024-09-28 20:37:08,PURCHASE,APP,272.46,ZAR,SUCCESSFUL
T00000003,A000137,2025-05-14 09:21:33,WITHDRAWAL,ATM,2150.00,ZAR,FAILED
T00000004,A000593,2023-08-15 15:22:00,PURCHASE,CARD,144.31,ZAR,SUCCESSFUL
T00000005,A000065,2024-04-08 11:04:13,PURCHASE,CARD,891.70,ZAR,SUCCESSFUL
T00000006,A000327,2024-06-29 05:18:26,PURCHASE,CARD,389.13,ZAR,SUCCESSFUL
T00000007,A000284,2026-05-29 23:47:22,PURCHASE,CARD,342.39,ZAR,SUCCESSFUL
T00000008,A000172,2024-12-22 19:23:55,WITHDRAWAL,ATM,1050.00,ZAR,FAILED
T00000009,A000680,2025-04-09 15:41:51,DEPOSIT,ATM,7960.25,ZAR,SUCCESSFUL
T00000010,A001177,2024-03-26 07:42:52,PURCHASE,APP,261.18,ZAR,SUCCESSFUL
T00000011,A000975,2020-09-08 10:51:55,TRANSFER,APP,15345.73,ZAR,SUCCESSFUL
T00000012,A000602,2026-08-28 19:26:36,PURCHASE,CARD,202.30,ZAR,SUCCESSFUL
T00000013,A000657,2023-12-30 21:17:21,TRANSFER,APP,2962.74,ZAR,SUCCESSFUL
T00000014,A000161,2019-04-27 23:54:15,PURCHASE,APP,217.75,ZAR,SUCCESSFUL
T00000015,A000107,2023-08-12 12:33:42,PURCHASE,CARD,249.90,ZAR,SUCCESSFUL
T00000016,A000771,2026-06-24 23:52:18,DEPOSIT,ATM,6246.19,ZAR,SUCCESSFUL
T00000017,A001101,2021-12-04 17:58:43,PURCHASE,CARD,587.30,ZAR,SUCCESSFUL
T00000018,A000450,2025-11-10 03:12:57,PURCHASE,APP,350.64,ZAR,SUCCESSFUL
T00000019,A001012,2025-08-13 16:21:39,PURCHASE,CARD,229.71,ZAR,SUCCESSFUL
T00000020,A000944,2025-03-29 04:01:24,PURCHASE,APP,2782.94,ZAR,SUCCESSFUL
T00000021,A000657,2022-05-21 14:20:23,WITHDRAWAL,ATM,700.00,ZAR,SUCCESSFUL
T00000022,A000361,2022-09-12 05:20:42,TRANSFER,APP,17271.91,ZAR,SUCCESSFUL
T00000023,A001107,2022-05-26 22:10:51,PURCHASE,APP,199.24,ZAR,SUCCESSFUL
T00000024,A000902,2021-02-10 09:13:28,PURCHASE,APP,696.52,ZAR,SUCCESSFUL
T00000025,A001176,2022-07-05 02:29:31,PURCHASE,CARD,164.67,ZAR,SUCCESSFUL
T00000026,A000962,2024-09-18 08:43:30,PURCHASE,CARD,180.20,ZAR,SUCCESSFUL
T00000027,A000066,2023-06-17 02:39:43,PURCHASE,CARD,122.24,ZAR,SUCCESSFUL
T00000028,A000492,2024-10-09 22:10:37,TRANSFER,APP,10334.15,ZAR,SUCCESSFUL
T00000029,A000731,2022-03-26 00:42:57,PURCHASE,CARD,254.51,ZAR,SUCCESSFUL
T00000030,A000705,2022-05-26 03:36:35,DEPOSIT,APP,5351.67,ZAR,SUCCESSFUL
T00000031,A000017,2025-06-24 23:33:47,TRANSFER,APP,3355.49,ZAR,SUCCESSFUL
T00000032,A001087,2025-05-23 01:57:46,PURCHASE,CARD,188.74,ZAR,SUCCESSFUL
T00000033,A000321,2022-08-07 22:11:04,DEPOSIT,APP,8301.35,ZAR,SUCCESSFUL
T00000034,A000627,2026-07-04 21:01:47,PURCHASE,APP,385.70,ZAR,SUCCESSFUL
T00000035,A000332,2025-10-31 23:27:47,PURCHASE,CARD,334.41,ZAR,SUCCESSFUL
T00000036,A000561,2025-12-22 10:30:21,WITHDRAWAL,ATM,400.00,ZAR,SUCCESSFUL
T00000037,A001219,2026-03-20 06:01:47,WITHDRAWAL,ATM,1800.00,ZAR,SUCCESSFUL
T00000038,A000335,2025-07-24 08:12:40,WITHDRAWAL,ATM,800.00,ZAR,SUCCESSFUL
T00000039,A000362,2024-10-17 16:20:32,WITHDRAWAL,ATM,2450.00,ZAR,SUCCESSFUL
T00000040,A001132,2022-04-27 08:09:00,PURCHASE,CARD,539.84,ZAR,SUCCESSFUL
T00000041,A001013,2026-02-09 19:05:11,PURCHASE,CARD,100.48,ZAR,SUCCESSFUL
T00000042,A001204,2026-08-02 16:17:11,TRANSFER,APP,2131.58,ZAR,SUCCESSFUL
T00000043,A000587,2019-01-18 09:43:03,PURCHASE,CARD,122.47,ZAR,SUCCESSFUL
